回合,分数,平均分数
1,0.0,0.0
2,-1.0,-0.5
3,-1.0,-0.6666666666666666
4,-1.0,-0.75
5,-1.0,-0.8
6,1.0,-0.5
7,-1.0,-0.5714285714285714
8,0.0,-0.5
9,-1.0,-0.5555555555555556
10,-1.0,-0.6
11,-1.0,-0.6363636363636364
12,-1.0,-0.6666666666666666
13,-1.0,-0.6923076923076923
14,1.0,-0.5714285714285714
15,-1.0,-0.6
16,-1.0,-0.625
17,1.0,-0.5294117647058824
18,-1.0,-0.5555555555555556
19,-1.0,-0.5789473684210527
20,-1.0,-0.6
21,-1.0,-0.6190476190476191
22,0.0,-0.5909090909090909
23,-1.0,-0.6086956521739131
24,-1.0,-0.625
25,1.0,-0.56
26,1.0,-0.5
27,-1.0,-0.5185185185185185
28,-1.0,-0.5357142857142857
29,-1.0,-0.5517241379310345
30,1.0,-0.5
31,-1.0,-0.5161290322580645
32,1.0,-0.46875
33,-1.0,-0.48484848484848486
34,-1.0,-0.5
35,0.0,-0.4857142857142857
36,-1.0,-0.5
37,1.0,-0.4594594594594595
38,-1.0,-0.47368421052631576
39,-1.0,-0.48717948717948717
40,-1.0,-0.5
41,-1.0,-0.5121951219512195
42,-1.0,-0.5238095238095238
43,-1.0,-0.5348837209302325
44,-1.0,-0.5454545454545454
45,-1.0,-0.5555555555555556
46,1.0,-0.5217391304347826
47,-1.0,-0.5319148936170213
48,-1.0,-0.5416666666666666
49,1.0,-0.5102040816326531
50,1.0,-0.48
51,-1.0,-0.49019607843137253
52,-1.0,-0.5
53,1.0,-0.4716981132075472
54,-1.0,-0.48148148148148145
55,-1.0,-0.4909090909090909
56,1.0,-0.4642857142857143
57,1.0,-0.43859649122807015
58,-1.0,-0.4482758620689655
59,1.0,-0.423728813559322
60,-1.0,-0.43333333333333335
61,-1.0,-0.4426229508196721
62,-1.0,-0.45161290322580644
63,1.0,-0.42857142857142855
64,1.0,-0.40625
65,-1.0,-0.4153846153846154
66,-1.0,-0.42424242424242425
67,-1.0,-0.43283582089552236
68,-1.0,-0.4411764705882353
69,-1.0,-0.4492753623188406
70,1.0,-0.42857142857142855
71,-1.0,-0.43661971830985913
72,-1.0,-0.4444444444444444
73,-1.0,-0.4520547945205479
74,0.0,-0.44594594594594594
75,-1.0,-0.4533333333333333
76,-1.0,-0.4605263157894737
77,1.0,-0.44155844155844154
78,-1.0,-0.44871794871794873
79,1.0,-0.43037974683544306
80,-1.0,-0.4375
81,-1.0,-0.4444444444444444
82,-1.0,-0.45121951219512196
83,1.0,-0.43373493975903615
84,1.0,-0.4166666666666667
85,-1.0,-0.4235294117647059
86,-1.0,-0.43023255813953487
87,1.0,-0.41379310344827586
88,1.0,-0.3977272727272727
89,1.0,-0.38202247191011235
90,-1.0,-0.3888888888888889
91,-1.0,-0.3956043956043956
92,-1.0,-0.40217391304347827
93,1.0,-0.3870967741935484
94,1.0,-0.3723404255319149
95,-1.0,-0.37894736842105264
96,1.0,-0.3645833333333333
97,-1.0,-0.3711340206185567
98,1.0,-0.35714285714285715
99,1.0,-0.3434343434343434
100,-1.0,-0.35
101,1.0,-0.34
102,1.0,-0.32
103,-1.0,-0.32
104,-1.0,-0.32
105,-1.0,-0.32
106,-1.0,-0.34
107,-1.0,-0.34
108,-1.0,-0.35
109,1.0,-0.33
110,1.0,-0.31
111,-1.0,-0.31
112,1.0,-0.29
113,-1.0,-0.29
114,1.0,-0.29
115,-1.0,-0.29
116,1.0,-0.27
117,-1.0,-0.29
118,-1.0,-0.29
119,1.0,-0.27
120,-1.0,-0.27
121,1.0,-0.25
122,-1.0,-0.26
123,-1.0,-0.26
124,-1.0,-0.26
125,1.0,-0.26
126,-1.0,-0.28
127,1.0,-0.26
128,-1.0,-0.26
129,1.0,-0.24
130,-1.0,-0.26
131,-1.0,-0.26
132,1.0,-0.26
133,0.0,-0.25
134,1.0,-0.23
135,-1.0,-0.24
136,1.0,-0.22
137,-1.0,-0.24
138,-1.0,-0.24
139,-1.0,-0.24
140,-1.0,-0.24
141,0.0,-0.23
142,1.0,-0.21
143,-1.0,-0.21
144,1.0,-0.19
145,1.0,-0.17
146,-1.0,-0.19
147,1.0,-0.17
148,-1.0,-0.17
149,-1.0,-0.19
150,0.0,-0.2
151,1.0,-0.18
152,-1.0,-0.18
153,-1.0,-0.2
154,1.0,-0.18
155,-1.0,-0.18
156,-1.0,-0.2
157,-1.0,-0.22
158,-1.0,-0.22
159,-1.0,-0.24
160,-1.0,-0.24
161,-1.0,-0.24
162,-1.0,-0.24
163,-1.0,-0.26
164,-1.0,-0.28
165,-1.0,-0.28
166,-1.0,-0.28
167,1.0,-0.26
168,-1.0,-0.26
169,-1.0,-0.26
170,-1.0,-0.28
171,-1.0,-0.28
172,-1.0,-0.28
173,-1.0,-0.28
174,-1.0,-0.29
175,0.0,-0.28
176,0.0,-0.27
177,-1.0,-0.29
178,-1.0,-0.29
179,-1.0,-0.31
180,-1.0,-0.31
181,-1.0,-0.31
182,-1.0,-0.31
183,-1.0,-0.33
184,1.0,-0.33
185,1.0,-0.31
186,-1.0,-0.31
187,-1.0,-0.33
188,-1.0,-0.35
189,1.0,-0.35
190,-1.0,-0.35
191,1.0,-0.33
192,-1.0,-0.33
193,1.0,-0.33
194,-1.0,-0.35
195,1.0,-0.33
196,-1.0,-0.35
197,-1.0,-0.35
198,-1.0,-0.37
199,-1.0,-0.39
200,1.0,-0.37
201,-1.0,-0.39
202,0.0,-0.4
203,-1.0,-0.4
204,-1.0,-0.4
205,-1.0,-0.4
206,1.0,-0.38
207,0.0,-0.37
208,1.0,-0.35
209,1.0,-0.35
210,-1.0,-0.37
211,1.0,-0.35
212,-1.0,-0.37
213,-1.0,-0.37
214,1.0,-0.37
215,-1.0,-0.37
216,1.0,-0.37
217,1.0,-0.35
218,-1.0,-0.35
219,-1.0,-0.37
220,-1.0,-0.37
221,1.0,-0.37
222,1.0,-0.35
223,1.0,-0.33
224,-1.0,-0.33
225,-1.0,-0.35
226,-1.0,-0.35
227,1.0,-0.35
228,-1.0,-0.35
229,-1.0,-0.37
230,-1.0,-0.37
231,-1.0,-0.37
232,-1.0,-0.39
233,1.0,-0.38
234,-1.0,-0.4
235,1.0,-0.38
236,-1.0,-0.4
237,-1.0,-0.4
238,1.0,-0.38
239,1.0,-0.36
240,-1.0,-0.36
241,-1.0,-0.37
242,-1.0,-0.39
243,-1.0,-0.39
244,-1.0,-0.41
245,-1.0,-0.43
246,1.0,-0.41
247,-1.0,-0.43
248,-1.0,-0.43
249,-1.0,-0.43
250,-1.0,-0.44
251,-1.0,-0.46
252,-1.0,-0.46
253,1.0,-0.44
254,-1.0,-0.46
255,-1.0,-0.46
256,-1.0,-0.46
257,-1.0,-0.46
258,-1.0,-0.46
259,-1.0,-0.46
260,-1.0,-0.46
261,-1.0,-0.46
262,-1.0,-0.46
263,-1.0,-0.46
264,-1.0,-0.46
265,-1.0,-0.46
266,-1.0,-0.46
267,1.0,-0.46
