回合,分数,平均分数
1,0.0,0.0
2,1.0,0.5
3,-1.0,0.0
4,-1.0,-0.25
5,-1.0,-0.4
6,1.0,-0.16666666666666666
7,-1.0,-0.2857142857142857
8,0.0,-0.25
9,-1.0,-0.3333333333333333
10,-1.0,-0.4
11,-1.0,-0.45454545454545453
12,-1.0,-0.5
13,0.0,-0.46153846153846156
14,-1.0,-0.5
15,-1.0,-0.5333333333333333
16,1.0,-0.4375
17,1.0,-0.35294117647058826
18,0.0,-0.3333333333333333
19,0.0,-0.3157894736842105
20,-1.0,-0.35
21,1.0,-0.2857142857142857
22,-1.0,-0.3181818181818182
23,-1.0,-0.34782608695652173
24,-1.0,-0.375
25,1.0,-0.32
26,-1.0,-0.34615384615384615
27,-1.0,-0.37037037037037035
28,1.0,-0.32142857142857145
29,-1.0,-0.3448275862068966
30,-1.0,-0.36666666666666664
31,-1.0,-0.3870967741935484
32,1.0,-0.34375
33,-1.0,-0.36363636363636365
34,-1.0,-0.38235294117647056
35,-1.0,-0.4
36,-1.0,-0.4166666666666667
37,1.0,-0.3783783783783784
38,-1.0,-0.39473684210526316
39,-1.0,-0.41025641025641024
40,-1.0,-0.425
41,-1.0,-0.43902439024390244
42,-1.0,-0.4523809523809524
43,-1.0,-0.46511627906976744
44,-1.0,-0.4772727272727273
45,-1.0,-0.4888888888888889
46,1.0,-0.45652173913043476
47,-1.0,-0.46808510638297873
48,-1.0,-0.4791666666666667
49,-1.0,-0.4897959183673469
50,1.0,-0.46
51,-1.0,-0.47058823529411764
52,-1.0,-0.4807692307692308
53,1.0,-0.4528301886792453
54,-1.0,-0.46296296296296297
55,-1.0,-0.4727272727272727
56,1.0,-0.44642857142857145
57,-1.0,-0.45614035087719296
58,-1.0,-0.46551724137931033
59,1.0,-0.4406779661016949
60,-1.0,-0.45
61,-1.0,-0.45901639344262296
62,-1.0,-0.46774193548387094
63,1.0,-0.4444444444444444
64,1.0,-0.421875
65,-1.0,-0.4307692307692308
66,-1.0,-0.4393939393939394
67,1.0,-0.417910447761194
68,-1.0,-0.4264705882352941
69,1.0,-0.4057971014492754
70,-1.0,-0.4142857142857143
71,-1.0,-0.4225352112676056
72,-1.0,-0.4305555555555556
73,-1.0,-0.4383561643835616
74,-1.0,-0.44594594594594594
75,1.0,-0.4266666666666667
76,-1.0,-0.4342105263157895
77,-1.0,-0.44155844155844154
78,-1.0,-0.44871794871794873
79,1.0,-0.43037974683544306
80,-1.0,-0.4375
81,-1.0,-0.4444444444444444
82,-1.0,-0.45121951219512196
83,1.0,-0.43373493975903615
84,1.0,-0.4166666666666667
85,-1.0,-0.4235294117647059
86,-1.0,-0.43023255813953487
87,-1.0,-0.4367816091954023
88,1.0,-0.42045454545454547
89,1.0,-0.4044943820224719
90,-1.0,-0.4111111111111111
91,1.0,-0.3956043956043956
92,-1.0,-0.40217391304347827
93,1.0,-0.3870967741935484
94,1.0,-0.3723404255319149
95,-1.0,-0.37894736842105264
96,-1.0,-0.3854166666666667
97,-1.0,-0.3917525773195876
98,1.0,-0.37755102040816324
99,1.0,-0.36363636363636365
100,-1.0,-0.37
